,date,home_team,score,away_team
177,19-10-2022,Valladolid,4 - 1,Celta
178,24-10-2022,Celta,1 - 1,Getafe
179,29-10-2022,Almeria,3 - 1,Celta
180,05-11-2022,Celta,1 - 2,Osasuna
181,10-11-2022,Vallecano,0 - 0,Celta
182,30-12-2022,Celta,1 - 1,Sevilla
183,06-01-2023,Elche,0 - 1,Celta
184,13-01-2023,Celta,1 - 1,Villarreal
185,20-01-2023,Mallorca,1 - 0,Celta
186,29-01-2023,Celta,1 - 0,Ath Bilbao
187,04-02-2023,Betis,3 - 4,Celta
188,12-02-2023,Celta,0 - 1,Ath Madrid
189,18-02-2023,Sociedad,1 - 1,Celta
190,26-02-2023,Celta,3 - 0,Valladolid
191,06-03-2023,Osasuna,0 - 0,Celta
192,11-03-2023,Celta,3 - 0,Vallecano
193,18-03-2023,Espanol,1 - 3,Celta
194,02-04-2023,Celta,2 - 2,Almeria
195,07-04-2023,Sevilla,2 - 2,Celta
196,15-08-2022,Betis,3 - 0,Elche
197,22-08-2022,Elche,1 - 1,Almeria
198,27-08-2022,Elche,0 - 1,Sociedad
199,04-09-2022,Villarreal,4 - 0,Elche
200,11-09-2022,Elche,1 - 4,Ath Bilbao
201,17-09-2022,Barcelona,3 - 0,Elche
202,03-10-2022,Vallecano,2 - 1,Elche
203,10-10-2022,Elche,1 - 1,Mallorca
204,15-10-2022,Valencia,2 - 2,Elche
205,19-10-2022,Elche,0 - 3,Real Madrid
206,23-10-2022,Espanol,2 - 2,Elche
207,31-10-2022,Elche,0 - 1,Getafe
208,05-11-2022,Valladolid,2 - 1,Elche
209,08-11-2022,Elche,1 - 2,Girona
210,29-12-2022,Ath Madrid,2 - 0,Elche
211,06-01-2023,Elche,0 - 1,Celta
212,16-01-2023,Cadiz,1 - 1,Elche
213,22-01-2023,Elche,1 - 1,Osasuna
214,28-01-2023,Sevilla,3 - 0,Elche
215,04-02-2023,Elche,3 - 1,Villarreal
216,15-02-2023,Real Madrid,4 - 0,Elche
217,19-02-2023,Elche,0 - 1,Espanol
218,24-02-2023,Elche,2 - 3,Betis
219,04-03-2023,Mallorca,0 - 1,Elche
220,11-03-2023,Elche,1 - 1,Valladolid
221,19-03-2023,Sociedad,2 - 0,Elche
222,01-04-2023,Elche,0 - 4,Barcelona
223,08-04-2023,Osasuna,? - ?,Elche
224,13-08-2022,Celta,2 - 2,Espanol
225,19-08-2022,Espanol,0 - 2,Vallecano
226,28-08-2022,Espanol,1 - 3,Real Madrid
227,04-09-2022,Ath Bilbao,0 - 1,Espanol
228,10-09-2022,Espanol,2 - 3,Sevilla
229,18-09-2022,Sociedad,2 - 1,Espanol
230,02-10-2022,Espanol,2 - 2,Valencia
231,09-10-2022,Cadiz,2 - 2,Espanol
232,16-10-2022,Espanol,1 - 0,Valladolid
233,20-10-2022,Osasuna,1 - 0,Espanol
234,23-10-2022,Espanol,2 - 2,Elche
235,28-10-2022,Mallorca,1 - 1,Espanol
236,06-11-2022,Ath Madrid,1 - 1,Espanol
237,09-11-2022,Espanol,0 - 1,Villarreal
238,31-12-2022,Barcelona,1 - 1,Espanol
239,07-01-2023,Espanol,2 - 2,Girona
240,15-01-2023,Getafe,1 - 2,Espanol
241,21-01-2023,Espanol,1 - 0,Betis
242,27-01-2023,Almeria,3 - 1,Espanol
243,04-02-2023,Espanol,1 - 1,Osasuna
244,13-02-2023,Espanol,2 - 3,Sociedad
245,19-02-2023,Elche,0 - 1,Espanol
246,25-02-2023,Espanol,2 - 1,Mallorca
247,05-03-2023,Valladolid,2 - 1,Espanol
248,11-03-2023,Real Madrid,3 - 1,Espanol
249,18-03-2023,Espanol,1 - 3,Celta
250,01-04-2023,Girona,2 - 1,Espanol
251,08-04-2023,Espanol,? - ?,Ath Bilbao
252,15-08-2022,Getafe,0 - 3,Ath Madrid
253,22-08-2022,Girona,3 - 1,Getafe
254,28-08-2022,Getafe,0 - 0,Villarreal
255,04-09-2022,Valencia,5 - 1,Getafe
256,11-09-2022,Getafe,2 - 1,Sociedad
257,18-09-2022,Osasuna,0 - 2,Getafe
258,01-10-2022,Getafe,2 - 3,Valladolid
259,08-10-2022,Getafe,0 - 1,Real Madrid
260,14-10-2022,Vallecano,0 - 0,Getafe
261,18-10-2022,Getafe,2 - 2,Ath Bilbao
262,24-10-2022,Celta,1 - 1,Getafe
263,31-10-2022,Elche,0 - 1,Getafe
264,05-11-2022,Getafe,0 - 0,Cadiz
265,09-11-2022,Almeria,1 - 0,Getafe
266,30-12-2022,Getafe,2 - 0,Mallorca
267,08-01-2023,Sevilla,2 - 1,Getafe
268,15-01-2023,Getafe,1 - 2,Espanol
269,22-01-2023,Barcelona,1 - 0,Getafe
270,28-01-2023,Getafe,0 - 1,Betis
271,04-02-2023,Ath Madrid,1 - 1,Getafe
272,12-02-2023,Getafe,1 - 1,Vallecano
273,20-02-2023,Getafe,1 - 0,Valencia
274,27-02-2023,Villarreal,2 - 1,Getafe
275,04-03-2023,Getafe,3 - 2,Girona
276,10-03-2023,Cadiz,2 - 2,Getafe
277,19-03-2023,Getafe,2 - 0,Sevilla
278,01-04-2023,Ath Bilbao,0 - 0,Getafe
279,08-04-2023,Sociedad,? - ?,Getafe
280,14-08-2022,Valencia,1 - 0,Girona
281,22-08-2022,Girona,3 - 1,Getafe
282,26-08-2022,Girona,0 - 1,Celta
283,03-09-2022,Mallorca,1 - 1,Girona
284,09-09-2022,Girona,2 - 1,Valladolid
285,18-09-2022,Betis,2 - 1,Girona
286,02-10-2022,Girona,3 - 5,Sociedad
287,08-10-2022,Ath Madrid,2 - 1,Girona
288,15-10-2022,Girona,1 - 1,Cadiz
289,20-10-2022,Almeria,3 - 2,Girona
290,23-10-2022,Girona,1 - 1,Osasuna
291,30-10-2022,Real Madrid,1 - 1,Girona
292,04-11-2022,Girona,2 - 1,Ath Bilbao
293,08-11-2022,Elche,1 - 2,Girona
294,29-12-2022,Girona,2 - 2,Vallecano
295,07-01-2023,Espanol,2 - 2,Girona
296,14-01-2023,Girona,2 - 1,Sevilla
297,22-01-2023,Villarreal,1 - 0,Girona
298,28-01-2023,Girona,0 - 1,Barcelona
299,05-02-2023,Girona,1 - 0,Valencia
300,10-02-2023,Cadiz,2 - 0,Girona
301,17-02-2023,Girona,6 - 2,Almeria
302,26-02-2023,Ath Bilbao,2 - 3,Girona
303,04-03-2023,Getafe,3 - 2,Girona
304,13-03-2023,Girona,0 - 1,Ath Madrid
305,18-03-2023,Vallecano,2 - 2,Girona
306,01-04-2023,Girona,2 - 1,Espanol
307,10-04-2023,Barcelona,? - ?,Girona
308,15-08-2022,Ath Bilbao,0 - 0,Mallorca
309,20-08-2022,Mallorca,1 - 2,Betis
310,27-08-2022,Vallecano,0 - 2,Mallorca
311,03-09-2022,Mallorca,1 - 1,Girona
312,11-09-2022,Real Madrid,4 - 1,Mallorca
313,17-09-2022,Mallorca,1 - 0,Almeria
314,01-10-2022,Mallorca,0 - 1,Barcelona
315,10-10-2022,Elche,1 - 1,Mallorca
316,15-10-2022,Mallorca,0 - 1,Sevilla
317,19-10-2022,Sociedad,1 - 0,Mallorca
318,22-10-2022,Valencia,1 - 2,Mallorca
319,28-10-2022,Mallorca,1 - 1,Espanol
320,06-11-2022,Villarreal,0 - 2,Mallorca
321,09-11-2022,Mallorca,1 - 0,Ath Madrid
322,30-12-2022,Getafe,2 - 0,Mallorca
323,07-01-2023,Mallorca,1 - 0,Valladolid
324,14-01-2023,Osasuna,1 - 0,Mallorca
325,20-01-2023,Mallorca,1 - 0,Celta
326,28-01-2023,Cadiz,2 - 0,Mallorca
327,05-02-2023,Mallorca,1 - 0,Real Madrid
328,11-02-2023,Sevilla,2 - 0,Mallorca
329,18-02-2023,Mallorca,4 - 2,Villarreal
330,25-02-2023,Espanol,2 - 1,Mallorca
331,04-03-2023,Mallorca,0 - 1,Elche
332,12-03-2023,Mallorca,1 - 1,Sociedad
333,19-03-2023,Betis,1 - 0,Mallorca
334,31-03-2023,Mallorca,0 - 0,Osasuna
335,09-04-2023,Valladolid,? - ?,Mallorca
336,12-08-2022,Osasuna,2 - 1,Sevilla
