title,author,length
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide 9th Edition,"Mike Chapple,James Michael Stewart,Darril Gibson",Length: 65 hrs and 38 mins
Two Weeks Notice,Amy Porterfield,Length: 7 hrs and 38 mins
A Kingdom of Stars and Shadows,Holly Renee,Length: 6 hrs and 36 mins
The Surgeon,Leslie Wolfe,Length: 10 hrs and 47 mins
Memory Lane,Becky Wade,Length: 12 hrs and 27 mins
Women with ADHD,"Sarah Davis,Linda Hill",Length: 3 hrs and 37 mins
Wool,Hugh Howey,Length: 15 hrs
It's OK to Be Angry About Capitalism,"Senator Bernie Sanders,John Nichols",Length: 10 hrs and 59 mins
The Ghost Club,Kate Winkler Dawson,Length: 4 hrs and 1 min
Plot Hole,Macronomicon,Length: 22 hrs and 25 mins
The Ascension Game: Volume 1,Ace Arriande,Length: 8 hrs and 8 mins
The Olympian Affair,Jim Butcher,Length: 21 hrs and 30 mins
Awake Not Woke,Noelle Mering,Length: 6 hrs and 56 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
His Secret Betrothal,Renee McKenzie,Length: 9 hrs and 38 mins
Flawless,Elsie Silver,Length: 9 hrs and 44 mins
Murder at the Beauty Pageant,Helena Dixon,Length: 7 hrs and 16 mins
The Secret,Rhonda Byrne,Length: 4 hrs and 24 mins
The Roots of the Federal Reserve,Laura Sanger,Length: 19 hrs and 8 mins
The Wager,David Grann,Length: 8 hrs and 28 mins
Satan's Affair,H. D. Carlton,Length: 5 hrs and 47 mins
Code Red,"Vince Flynn,Kyle Mills",Length: 9 hrs and 30 mins
Dead Fall,Brad Thor,Length: 10 hrs and 30 mins
Empath & Psychic Abilities for Highly Sensitive People,Zach Apple,Length: 3 hrs and 2 mins
The Alabaster Girl,Zan Perrion,Length: 18 hrs and 55 mins
Murtagh,Christopher Paolini,Length: 18 hrs
The White Pill,Michael Malice,Length: 9 hrs and 11 mins
Why Do I Do What I Don't Want to Do?,"Jonathan ""JP"" Pokluda,Jon Green - contributor",Length: 5 hrs and 5 mins
Heart of My Monster,Rina Kent,Length: 8 hrs and 40 mins
The Return of the Gods,Jonathan Cahn,Length: 8 hrs and 34 mins
Dark Angel,John Sandford,Length: 11 hrs and 7 mins
The Wisdom of the Bullfrog,Admiral William H. McRaven,Length: 3 hrs and 44 mins
The Spinster and I,Rebecca Connolly,Length: 8 hrs and 57 mins
Implacable,Jack Campbell,Length: 11 hrs and 45 mins
The Fine Print,Lauren Asher,Length: 11 hrs and 8 mins
Breathe,Bonnie Gray,Length: 6 hrs and 36 mins
The Fossil Hunter,Tea Cooper,Length: 11 hrs and 52 mins
To the Moon and Back,N.R. Walker,Length: 5 hrs and 39 mins
Flirting with Forever,Claire Kingsley,Length: 8 hrs and 56 mins
The Lost Hero,Rick Riordan,Length: 16 hrs and 33 mins
The Awe of God,John Bevere,Length: 7 hrs and 28 mins
"Frontiers Saga Part 3: Liberty and Truth, Peace and Prosperity",Ryk Brown,Length: 8 hrs and 40 mins
Identity,Nora Roberts,Length: 15 hrs and 4 mins
The Five-Star Weekend,Elin Hilderbrand,Length: 12 hrs and 45 mins
Professor Platonic,Lucy Lennox,Length: 1 hr and 5 mins
To Kill a Mockingbird,Harper Lee,Length: 12 hrs and 17 mins
One True Loves,Taylor Jenkins Reid,Length: 8 hrs and 5 mins
Empire of the Summer Moon,S. C. Gwynne,Length: 15 hrs and 9 mins
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins
The Five Dysfunctions of a Team,Patrick Lencioni,Length: 3 hrs and 42 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Length: 5 hrs and 51 mins
Good to Great,Jim Collins,Length: 10 hrs and 1 min
Get Rich with Dividends,Marc Lichtenfield,Length: 7 hrs and 59 mins
Shoe Dog,Phil Knight,Length: 13 hrs and 21 mins
"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud",Length: 11 hrs and 18 mins
Eragon,Christopher Paolini,Length: 16 hrs and 22 mins
Show Me Wonders,Riley Nash,Length: 8 hrs and 46 mins
Entranced by the Basilisks,Lillian Lark,Length: 10 hrs and 17 mins
All the Time in the World,John Gierach,Length: 6 hrs and 55 mins
The Dom Who Came in from the Cold,Lexi Blake,Length: 16 hrs and 3 mins
The Way is in Training,Matthew S Little,Length: 9 hrs and 55 mins
Return to Satterthwaite Court,Mimi Matthews,Length: 6 hrs and 20 mins
The Enigma of Garlic,Alexander McCall Smith,Length: 7 hrs and 52 mins
KTF Part 2,"Jason Anspach,Nick Cole",Length: 11 hrs and 57 mins
I Swear,Katie Porter,Length: 9 hrs and 1 min
Start with Why,Simon Sinek,Length: 7 hrs and 18 mins
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins
Selena,Cebelius,Length: 9 hrs and 1 min
Dark Psychology and Gaslighting Manipulation,Joshua Roundtree,Length: 54 mins
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
Tower of the Noobs,Ryan Rimmel,Length: 16 hrs and 34 mins
Start Your Notary Public & Loan Signing Agent Business,LSAUSA Education,Length: 3 hrs and 32 mins
The Secret Life of Sunflowers,"Marta Molnar,Dana Marton",Length: 9 hrs and 52 mins
A Game of Malice and Greed,"Caroline Peckham,Susanne Valenti",Length: 25 hrs and 50 mins
All My Knotted-Up Life,Beth Moore,Length: 8 hrs and 29 mins
The Coven,Harper L. Woods,Length: 8 hrs and 52 mins
Antelligent Design,RinoZ,Length: 19 hrs and 9 mins
Why We Sleep,Matthew Walker,Length: 13 hrs and 52 mins
Culture Rules,Mark Miller,Length: 7 hrs and 37 mins
The Ties That Bind Trilogy,Rob J. Hayes,Length: 43 hrs and 17 mins
A Soul of Ash and Blood,Jennifer L. Armentrout,Length: 24 hrs
Culturally Responsive Teaching and the Brain,Zaretta Hammond,Length: 7 hrs and 25 mins
The Courage to Be Free,Ron DeSantis,Length: 8 hrs and 59 mins
Things I Wish I Told My Mother,"Susan Patterson,Susan DiLallo,James Patterson - contributor",Length: 6 hrs and 44 mins
Divorcing a Narcissist,"Supriya McKenna,Karin Walker",Length: 14 hrs and 1 min
Vacation Wars,Meghan Quinn,Length: 13 hrs and 27 mins
Resurrection Walk,Michael Connelly,Length: 12 hrs
Change Your Brain Every Day,Daniel Amen,Length: 15 hrs and 8 mins
Once upon Atari,Howard Scott Warshaw,Length: 11 hrs and 17 mins
Grading for Equity,Joe Feldman,Length: 10 hrs
The Fiancée Farce,Alexandria Bellefleur,Length: 12 hrs and 39 mins
The Longest Race,"Kara Goucher,Mary Pilon",Length: 8 hrs and 48 mins
A Girl Called Samson,Amy Harmon,Length: 13 hrs and 14 mins
The Butcher and the Wren,Alaina Urquhart,Length: 6 hrs and 23 mins
Duke: Faking the Play,"Kayley Loring,Connor Crais",Length: 7 hrs and 55 mins
Heir of Uncertain Magic,Charlie N. Holmberg,Length: 9 hrs and 54 mins
The Snow Graves,Roger Stelljes,Length: 12 hrs and 49 mins
